Team                       , FDCOUK               , City                   , Stadium                                       , Capacity, Latitude  , Longitude , Country
Athletic Bilbao            , Ath Bilbao           , Bilbao                 , San Mamés                                     ,    53332, 43.264284 , -2.950366 , Spagna
Atlético Madrid            , Ath Madrid           , Madrid                 , Wanda Metropolitano                           ,    70460, 40.401719 , -3.720606 , Spagna
Barcelona                  , Barcelona            , Barcelona              , Camp Nou                                      ,    99354, 41.38087  , 2.122802  , Spagna
Betis                      , Betis                , Seville                , Benito Villamarín                             ,    52500, 37.356389 , -5.981389 , Spagna
Celta de Vigo              , Celta                , Vigo                   , Balaídos                                      ,    31800, 42.211842 , -8.739711 , Spagna
Elche                      , Elche                , Elche                  , Martínez Valero                               ,    36017, 38.266944 , -0.663333 , Spagna
Espanyol                   , Espanol              , Cornellà de Llobregat  , Cornellà-El Prat                              ,    40500, 41.347861 , 2.075667  , Spagna
Getafe                     , Getafe               , Getafe                 , Coliseum Alfonso Pérez                        ,    17700, 40.325556 , -3.714722 , Spagna
Granada                    , Granada              , Granada                , Nuevo Los Cármenes                            ,    22524, 37.152967 , -3.595736 , Spagna
Levante                    , Levante              , Valencia               , Ciutat de València                            ,    25534, 39.494722 , -0.364167 , Spagna
Málaga                     , Malaga               , Málaga                 , La Rosaleda                                   ,    30044, 36.734092 , -4.426422 , Spagna
Osasuna                    , Osasuna              , Pamplona               , El Sadar                                      ,    19553, 42.796667 , -1.636944 , Spagna
